Inkomsttyp;Inkomsttypsnamn;Inkomsthuvudgrupp;Inkomsthuvudgruppsnamn;Inkomsttitelgrupp;Inkomsttitelgruppsnamn;Inkomsttitel;Inkomsttitelsnamn;År;Statens budget;Utfall;Inkomsttyp utfallsår;Inkomsttypsnamn utfallsår;Inkomsthuvudgrupp utfallsår;Inkomsthuvudgruppsnamn utfallsår;Inkomsttitelgrupp utfallsår;Inkomsttitelgruppsnamn utfallsår;Inkomsttitel utfallsår;Inkomsttitelsnamn utfallsår
1000;Statens skatteinkomster;1100;Direkta skatter på arbete;1110;Inkomstskatter;1111;Statlig inkomstskatt;2006;40612,1932895;41004,63419;1000;Skatter m.m.;1100;Direkta skatter på arbete;1110;Inkomstskatter;1111;Statlig inkomstskatt
1000;Statens skatteinkomster;1100;Direkta skatter på arbete;1110;Inkomstskatter;1115;Kommunal inkomstskatt;2006;452391,3492013;454117,328412;1000;Skatter m.m.;1100;Direkta skatter på arbete;1110;Inkomstskatter;1115;Kommunal inkomstskatt
1000;Statens skatteinkomster;1100;Direkta skatter på arbete;1120;Allmän pensionsavgift;1121;Allmän pensionsavgift;2006;76700,4923032;77329,0918;1000;Skatter m.m.;1100;Direkta skatter på arbete;1120;Allmän pensionsavgift;1121;Allmän pensionsavgift
1000;Statens skatteinkomster;1100;Direkta skatter på arbete;1130;Artistskatt;1131;Artistskatt;2006;59,015781;73,707439;1000;Skatter m.m.;1100;Direkta skatter på arbete;1130;Artistskatt;1131;Artistskatt
1000;Statens skatteinkomster;1100;Direkta skatter på arbete;1140-1160;Skattereduktioner;1141;Allmän pensionsavgift;2006;-76700,4923032;-77295,336312;1000;Skatter m.m.;1100;Direkta skatter på arbete;1140;Skattereduktioner;1141;Allmän pensionsavgift
1000;Statens skatteinkomster;1100;Direkta skatter på arbete;1140-1160;Skattereduktioner;1142;Fackföreningsavgift;2006;-2201,260826;-2141,63961;1000;Skatter m.m.;1100;Direkta skatter på arbete;1140;Skattereduktioner;1142;Fackföreningsavgift
1000;Statens skatteinkomster;1100;Direkta skatter på arbete;1140-1160;Skattereduktioner;1143;Arbetslöshetskassa;2006;-1813,4406538;-1668,036669;1000;Skatter m.m.;1100;Direkta skatter på arbete;1140;Skattereduktioner;1143;Arbetslöshetskassa
1000;Statens skatteinkomster;1100;Direkta skatter på arbete;1140-1160;Skattereduktioner;1144;Fastighetsavgift;2006;-556,472378;-277,409062;1000;Skatter m.m.;1100;Direkta skatter på arbete;1140;Skattereduktioner;1144;Fastighetsskatt
1000;Statens skatteinkomster;1100;Direkta skatter på arbete;1140-1160;Skattereduktioner;1145;Förmögenhetsskatt;2006;-61,405191;-78,069476;1000;Skatter m.m.;1100;Direkta skatter på arbete;1140;Skattereduktioner;1145;Förmögenhetsskatt
1000;Statens skatteinkomster;1100;Direkta skatter på arbete;1140-1160;Skattereduktioner;1146;Miljöåtgärder;2006;-50;-90,113459;1000;Skatter m.m.;1100;Direkta skatter på arbete;1140;Skattereduktioner;1146;Miljöåtgärder
