Utgiftsområde;Utgiftsområdesnamn;Anslag;Anslagsnamn;År;Ingående överföringsbelopp;Statens budget;Ändringsbudgetar;Indragningar;Utnyttjad del av medgivet överskridande;Utfall;Anslagskredit;Utgående överföringsbelopp;Utgiftsområde utfallsår;Utgiftsområdesnamn utfallsår;Anslag utfallsår;Anslagsnamn utfallsår
;Utgiftstak;;Utgiftstak;1997;;723000;;;;723000;;;;Utgiftstak;;Utgiftstak
;Marginal till utgiftstaket;;Marginal till utgiftstaket;1997;;10501,557;;;;24107,98769888;;;;Marginal till utgiftstaket;;Marginal till utgiftstaket
;Kassamässig korrigering;;Kassamässig korrigering;1997;;86691;;;;-1960,878;;;;Kassamässig korrigering;;Kassamässig korrigering
;Ålderspensionssystemet vid sidan av statens budget;;Ålderspensionssystemet vid sidan av statens budget;1997;;131957;;;;129707;;;;Ålderspensionssystemet vid sidan av statsbudgeten;;Ålderspensionssystemet vid sidan av statsbudgeten
;Riksgäldskontorets nettoutlåning;;Riksgäldskontorets nettoutlåning;1997;;-93605;;;;-10435;;;;Riksgäldskontorets nettoutlåning;;Riksgäldskontorets nettoutlåning
;Förändring av anslagsbehållningar;;Förändring av anslagsbehållningar exkl. UO 26;1997;;6000;;;;;;;;Förändring av anslagsbehållningar;;Förändring av anslagsbehållningar
01;Rikets styrelse;0101001;Kungliga hov- och slottsstaten;1997;30,122;73,7;;-30,122;;73,726;;-0,026;01;Rikets styrelse;01A001;Kungliga hov- och slottsstaten
01;Rikets styrelse;0102001;Riksdagens ledamöter och partier m.m.;1997;;428,436;;;;420,03320694;;8,40279306;01;Rikets styrelse;01B001;Riksdagens ledamöter och partier m m
01;Rikets styrelse;0102002;Riksdagens förvaltningsanslag;1997;52,59697154;377,077;;;;359,14767964;;70,5262919;01;Rikets styrelse;01B002;Riksdagens förvaltningskostnader
01;Rikets styrelse;0102004;Riksdagens ombudsmän (JO);1997;2,17044632;35,074;;;;35,16654262;;2,0779037;01;Rikets styrelse;01B003;Riksdagens ombudsmän, Justitieombudsmännen
01;Rikets styrelse;0103001;Sametinget;1997;0,97177983;10,497;2;;;14,30640929;;-0,83762946;01;Rikets styrelse;01D003;Sametinget
01;Rikets styrelse;0104001;Regeringskansliet m.m.;1997;452,25823369;1944,624;;102;;2093,98865961;;404,89357408;01;Rikets styrelse;01C001;Regeringskansliet m m
01;Rikets styrelse;0105001;Länsstyrelserna m.m.;1997;179,89759732;1720,847;;;;1778,2478605;;122,49673682;18;Samhällsplanering, bostadsförsörjning och byggande;18C001;Länsstyrelserna m m
01;Rikets styrelse;0106001;Allmänna val och demokrati;1997;;48;;;;24,12625121;;23,87374879;01;Rikets styrelse;01C003;Allmänna val
01;Rikets styrelse;0106002;Justitiekanslern;1997;0,43758962;8,739;;;;8,29048122;;0,8861084;01;Rikets styrelse;01D001;Justitiekanslern
01;Rikets styrelse;0106003;Integritetsskyddsmyndigheten;1997;2,50730324;23,444;;;;23,21691728;;2,73438596;01;Rikets styrelse;01D002;Datainspektionen
01;Rikets styrelse;0106004 2017;Svensk författningssamling;1997;;1,011;;;;0,95625;;0,05475;01;Rikets styrelse;01C002;Svensk författningssamling
01;Rikets styrelse;0106005;Stöd till politiska partier;1997;;145,2;;;;105,524252;;39,675748;01;Rikets styrelse;01C004;Stöd till politiska partier
01;Rikets styrelse;0108001;Mediestöd;1997;;541,579;-20;;;535,850637;;-14,271637;01;Rikets styrelse;01E002;Presstöd
01;Rikets styrelse;0108001 2015;Presstödsnämnden;1997;0,89654751;5,536;;;;4,79788959;;1,63465792;01;Rikets styrelse;01E001;Presstödsnämnden och taltidningsnämnden
